,Nico1:epd1,Nico1:epd1,Nico1:epd1,Nico1:epd2,Nico1:epd2,Nico1:epd2,Nico1:bd2,Nico1:bd2,Nico1:bd2,Nico1:abd2,Nico1:abd2,Nico1:abd2,Nico1:abg1,Nico1:abg1,Nico1:abg1,Nico1:abg2,Nico1:abg2,Nico1:abg2
Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
106,539.76,960.167,1504.27,144.392,787.698,1501.08,640.447,963.201,1192.33,450.659,1110.22,1000.84,97.4768,746.89,1172.52,146.764,965.572,985.753
107,540.011,959.812,1504.21,144.525,787.728,1501.08,640.453,962.903,1192.23,449.527,1109.06,1000.84,97.4337,747.233,1172.43,147.203,966.315,985.96
108,540.182,959.513,1504.15,144.657,787.734,1501.04,640.569,962.918,1192.15,448.647,1108.47,1001,97.4811,747.542,1172.39,147.316,966.881,985.825
109,540.356,959.279,1504.16,144.788,787.755,1500.98,640.567,962.617,1192.01,447.715,1107.76,1000.93,97.5178,747.801,1172.3,147.909,967.579,986.195
110,540.537,959.03,1504.16,144.94,787.731,1500.92,640.394,960.818,1191.21,446.603,1106.45,1000.95,97.5241,748.105,1172.21,148.322,968.093,986.613
111,540.714,958.88,1504.15,145.072,787.711,1500.93,640.473,961.712,1191.74,445.492,1105.75,1001.18,97.5371,748.448,1172.09,148.522,968.497,986.693
112,540.887,958.656,1504.16,145.204,787.69,1500.95,640.466,961.448,1191.61,444.442,1105.01,1001.54,97.5421,748.771,1171.96,148.654,968.927,986.758
113,541.127,958.416,1504.17,145.305,787.676,1500.98,640.414,959.944,1190.78,443.268,1103.83,1001.68,97.5857,749.032,1171.9,148.898,969.225,986.811
114,541.36,958.131,1504.19,145.413,787.628,1500.98,640.402,959.711,1190.66,442.191,1102.88,1001.86,97.6703,749.4,1171.71,149.05,969.586,986.866
115,541.661,957.939,1504.24,145.522,787.651,1500.95,640.331,959.424,1190.51,441.141,1102.15,1002.16,97.7722,749.569,1171.78,149.344,970.011,986.949
116,541.867,957.678,1504.26,145.635,787.629,1500.98,640.259,959.262,1190.45,439.919,1100.83,1002.26,97.8487,749.851,1171.7,150.074,970.693,987.349
117,542.073,957.403,1504.27,145.745,787.668,1500.93,640.202,959.022,1190.32,438.868,1099.87,1002.6,97.9535,750.145,1171.61,150.548,971.138,987.417
118,542.299,957.112,1504.24,145.861,787.656,1500.92,640.146,958.811,1190.2,437.842,1099.07,1003.21,98.016,750.418,1171.51,151.35,971.591,987.727
119,542.612,956.675,1504.27,145.957,787.674,1500.89,640.079,958.702,1190.13,436.433,1098.11,1003.49,98.1044,750.675,1171.41,151.836,972.005,987.859
120,542.815,956.351,1504.23,146.244,787.695,1500.3,640.116,959.948,1190.78,435.088,1096.78,1003.85,98.6038,752.939,1169.62,152.392,972.23,987.857
121,543.113,956.045,1504.24,146.408,787.705,1500.34,640.089,959.812,1190.72,433.956,1096.32,1004.63,98.7538,753.122,1169.6,152.793,972.258,987.663
122,543.323,955.708,1504.27,146.514,787.709,1500.38,639.97,959.76,1190.56,432.621,1095.24,1005.13,98.9229,753.417,1169.48,153.185,972.513,987.388
123,543.543,955.413,1504.27,146.604,787.647,1500.39,639.919,959.696,1190.48,431.107,1093.94,1005.44,99.0621,753.585,1169.46,154.087,972.903,987.49
124,543.641,955.064,1504.24,146.953,787.325,1500.76,639.835,959.802,1190.47,429.824,1093.31,1006.22,99.2416,753.781,1169.35,154.769,973.361,987.29
125,543.837,954.775,1504.26,146.867,787.713,1500.41,639.785,959.823,1190.44,428.443,1091.97,1006.73,99.4116,753.986,1169.32,155.906,973.718,987.906
126,543.662,953.999,1504.05,146.98,787.729,1500.42,639.718,959.878,1190.38,427.029,1090.8,1006.99,99.1196,752.568,1170.62,156.612,973.893,987.757
127,544.179,954.084,1504.26,147.048,787.729,1500.42,639.656,959.951,1190.36,425.892,1090.06,1007.55,99.3814,752.889,1170.52,157.133,974.154,987.473
128,544.45,953.736,1504.31,147.165,787.771,1500.39,639.669,959.833,1190.31,424.554,1089.14,1008.04,99.5948,753.081,1170.43,158.045,974.35,987.608
129,544.588,953.586,1504.29,147.237,787.819,1500.36,639.61,959.86,1190.25,422.961,1088.21,1008.67,99.829,753.362,1170.35,159.131,974.743,987.873
130,544.737,953.355,1504.3,147.296,787.842,1500.36,639.534,959.849,1190.18,421.776,1087.52,1009.2,100.021,753.568,1170.33,160.105,974.922,987.804
131,544.911,953.076,1504.29,147.378,787.898,1500.38,639.341,958.612,1189.49,420.358,1086.46,1009.47,100.262,753.843,1170.27,161.135,974.79,987.761
132,545.09,952.847,1504.27,147.43,787.893,1500.34,639.43,959.628,1189.93,419.039,1085.59,1009.88,100.566,753.784,1170.5,162.003,974.799,987.5
133,545.273,952.624,1504.22,147.489,787.917,1500.36,639.377,959.542,1189.8,417.653,1085.52,1010.59,100.78,754.024,1170.33,162.971,974.868,987.369
134,545.164,952.26,1504.11,147.544,787.988,1500.32,639.361,959.491,1189.68,416.273,1084.65,1010.78,101.031,754.071,1170.33,163.778,975.152,987.189
135,545.297,951.986,1504.05,147.576,787.962,1500.32,639.318,959.491,1189.58,414.995,1083.76,1010.98,101.256,754.114,1170.31,164.529,975.374,986.99
136,545.705,951.942,1504.16,147.623,788.07,1500.33,639.28,959.484,1189.51,413.917,1083.13,1011.4,101.501,754.09,1170.34,165.536,975.441,987.105
137,545.848,951.765,1504.17,147.673,788.132,1500.31,639.238,959.497,1189.49,412.503,1082.4,1011.87,101.745,754.169,1170.26,166.453,975.434,987.027
138,545.964,951.537,1504.1,147.723,788.167,1500.28,639.215,959.58,1189.47,411.279,1081.65,1012.54,102.073,754.32,1170.15,167.729,976.295,988.17
139,546.073,951.408,1504.1,147.75,788.19,1500.28,639.173,959.642,1189.4,410.332,1080.93,1012.89,102.44,754.411,1170.07,168.399,976.486,988.032
140,546.181,951.286,1504.11,147.783,788.207,1500.32,639.103,959.658,1189.39,409.524,1080.46,1013.29,102.834,754.332,1170.19,168.886,976.934,988.26
141,546.288,951.185,1504.11,147.846,788.224,1500.34,639.07,959.75,1189.35,408.534,1079.51,1013.55,103.196,754.365,1170.21,169.385,976.092,987.153
142,546.4,951.049,1504.07,147.888,788.296,1500.33,638.99,959.778,1189.27,407.545,1078.52,1013.85,103.483,754.623,1169.98,169.895,976.316,987.258
143,546.498,950.969,1504.05,147.926,788.231,1500.35,638.855,959.86,1189.16,406.781,1077.91,1014.31,103.696,754.584,1169.96,170.384,976.584,987.337
144,546.603,950.888,1504.05,147.995,788.285,1500.36,638.826,959.829,1189.1,406.133,1077.57,1014.85,103.975,754.579,1169.99,170.901,976.761,987.497
145,546.638,950.83,1504.06,148.047,788.29,1500.37,638.749,959.819,1189.01,405.473,1077.01,1015.23,104.165,754.577,1169.99,171.476,977.109,987.687
146,546.714,950.755,1504.06,148.096,788.296,1500.38,638.647,959.756,1188.95,404.846,1076.36,1015.52,104.405,754.6,1170.06,171.876,977.453,987.639
147,546.768,950.634,1504.05,148.165,788.197,1500.44,638.57,959.682,1188.9,404.359,1075.63,1015.68,104.514,754.56,1170.07,172.148,977.708,987.654
148,546.83,950.676,1504.01,148.234,788.171,1500.41,638.466,959.61,1188.85,404.004,1075.05,1015.9,104.628,754.52,1170.08,172.358,978.039,987.802
149,546.86,950.596,1504,148.315,788.12,1500.41,638.406,959.421,1188.79,403.682,1074.5,1016,104.758,754.371,1170.22,172.624,978.293,987.986
150,546.897,950.499,1503.95,148.382,788.05,1500.43,638.351,959.086,1188.72,403.435,1074.13,1016.11,104.802,754.377,1170.24,172.72,978.323,988.013
151,546.903,950.462,1503.9,148.476,787.922,1500.44,638.296,958.875,1188.63,403.263,1073.8,1016.22,104.818,754.383,1170.26,172.846,978.381,988.099
152,546.974,950.405,1503.87,148.601,787.785,1500.45,638.322,958.477,1188.53,403.118,1073.61,1016.33,104.767,754.422,1170.3,172.979,978.387,988.178
